EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02121,Levi Brown,Sr. Analyst,Sales,Corporate,Male,Black,36,26-12-21,"$75,119 ",0% ,United States,Chicago,
E01486,Mason Cho,Vice President,Accounting,Research & Development,Male,Asian,59,18-05-11,"$192,213 ",40% ,United States,Chicago,
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,10-05-14,"$65,047 ",0% ,Brazil,Sao Paulo,
E03027,Elijah Watson,Sr. Manger,Sales,Manufacturing,Male,Caucasian,29,16-03-17,"$151,413 ",15% ,United States,Seattle,
E03689,Wesley Gray,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,62,22-04-03,"$76,906 ",0% ,United States,Seattle,
E01986,Wesley Sharma,Manager,IT,Corporate,Male,Asian,51,23-02-94,"$122,802 ",5% ,China,Shanghai,
E01286,Mateo Mendez,Development Engineer,Engineering,Research & Development,Male,Latino,47,14-07-98,"$99,091 ",0% ,United States,Austin,
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,28-02-08,"$113,987 ",0% ,Brazil,Manaus,
E00626,Luna Simmons,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,04-09-20,"$95,045 ",0% ,United States,Chicago,
E04342,Samantha Barnes,Vice President,Marketing,Speciality Products,Female,Caucasian,29,05-01-17,"$190,401 ",37% ,United States,Columbus,
E03904,Hunter Ortiz,Sr. Analyst,Finance,Corporate,Male,Latino,46,20-01-13,"$86,061 ",0% ,Brazil,Rio de Janerio,
E01291,Thomas Aguilar,Sr. Account Representative,Sales,Speciality Products,Male,Latino,45,10-02-21,"$79,882 ",0% ,United States,Phoenix,
E00917,Skylar Bell,Vice President,Engineering,Manufacturing,Female,Caucasian,30,06-03-18,"$255,431 ",36% ,United States,Columbus,
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,22-08-03,"$82,017 ",0% ,China,Beijing,
E03864,Ella Hunter,Analyst,Finance,Manufacturing,Female,Caucasian,51,18-01-17,"$53,799 ",0% ,United States,Columbus,
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,03-07-21,"$82,739 ",0% ,United States,Phoenix,
E02227,Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,36,30-05-14,"$99,080 ",0% ,United States,Chicago,
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,Asian,40,20-01-11,"$96,719 ",0% ,China,Chengdu,
E01970,Vivian Barnes,Director,Human Resources,Research & Development,Female,Caucasian,51,28-03-21,"$180,687 ",19% ,United States,Phoenix,
E02813,Kai Chow,Engineering Manager,Engineering,Corporate,Male,Asian,45,12-04-01,"$95,743 ",15% ,United States,Austin,15-01-10
E02031,Melody Cooper,Development Engineer,Engineering,Research & Development,Female,Caucasian,44,04-09-09,"$89,695 ",0% ,United States,Austin,
E03252,James Bui,Manager,Finance,Manufacturing,Male,Asian,64,20-07-98,"$122,753 ",9% ,China,Chongqing,
E04871,Liam Grant,Sr. Business Partner,Human Resources,Research & Development,Male,Caucasian,30,15-03-15,"$93,734 ",0% ,United States,Phoenix,
E03547,Owen Han,Analyst,Accounting,Corporate,Male,Asian,28,12-05-17,"$52,069 ",0% ,China,Chongqing,
E04742,Kinsley Vega,Vice President,Accounting,Corporate,Female,Latino,33,16-12-20,"$258,426 ",40% ,Brazil,Rio de Janerio,
E01070,Leonardo Martin,Manager,Finance,Speciality Products,Male,Black,51,16-02-95,"$125,375 ",9% ,United States,Chicago,
E04359,Greyson Lam,Vice President,Accounting,Manufacturing,Male,Asian,25,08-02-21,"$198,243 ",31% ,United States,Miami,
E03268,Emilia Rivera,Test Engineer,Engineering,Research & Development,Female,Latino,42,23-11-17,"$96,023 ",0% ,United States,Miami,
E04035,Penelope Johnson,Sr. Analyst,Marketing,Research & Development,Female,Caucasian,34,25-06-12,"$83,066 ",0% ,United States,Chicago,05-06-13
E01221,Eva Figueroa,Analyst II,Sales,Research & Development,Female,Latino,48,14-05-14,"$61,216 ",0% ,United States,Seattle,
E00276,Ezekiel Jordan,Sr. Manger,Accounting,Corporate,Male,Caucasian,33,10-02-13,"$144,231 ",14% ,United States,Columbus,17-07-20
E01687,Luke Mai,HRIS Analyst,Human Resources,Research & Development,Male,Asian,41,24-10-07,"$51,630 ",0% ,China,Beijing,
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,Male,Latino,55,16-11-13,"$124,129 ",15% ,Brazil,Sao Paulo,
E01263,Adam Espinoza,Test Engineer,Engineering,Manufacturing,Male,Latino,36,09-04-09,"$60,055 ",0% ,United States,Seattle,
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,26-08-20,"$189,290 ",22% ,Brazil,Sao Paulo,25-09-20
E03935,Cora Jiang,Vice President,IT,Corporate,Female,Asian,53,30-04-08,"$182,202 ",30% ,United States,Austin,
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,Male,Caucasian,43,31-01-06,"$117,518 ",7% ,United States,Seattle,
E02810,Layla Torres,Sr. Manger,Finance,Manufacturing,Female,Latino,37,24-02-13,"$157,474 ",11% ,Brazil,Rio de Janerio,
E01860,Jack Edwards,Manager,Marketing,Manufacturing,Male,Caucasian,38,06-04-08,"$126,856 ",6% ,United States,Columbus,
E04890,Eleanor Chan,Sr. Manger,Accounting,Manufacturing,Female,Asian,49,02-04-01,"$129,124 ",12% ,China,Shanghai,
E02285,Aria Xi,Director,Sales,Research & Development,Female,Asian,45,01-03-02,"$165,181 ",16% ,United States,Seattle,
E00842,John Vega,Vice President,Finance,Corporate,Male,Latino,50,18-01-04,"$247,939 ",35% ,Brazil,Rio de Janerio,
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,25-08-17,"$169,509 ",18% ,Brazil,Manaus,
E01921,Sarah Daniels,Sr. Manger,Accounting,Manufacturing,Female,Caucasian,55,09-01-11,"$138,521 ",10% ,United States,Miami,
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,Latino,45,14-03-14,"$113,873 ",11% ,Brazil,Rio de Janerio,
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,Female,Black,39,09-05-18,"$73,317 ",0% ,United States,Miami,
E00870,Evelyn Liang,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,26-06-13,"$69,096 ",0% ,United States,Seattle,
E04167,Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,Male,Latino,48,12-04-05,"$87,158 ",0% ,Brazil,Manaus,
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,28-09-92,"$70,778 ",0% ,United States,Austin,
E00976,Zoe Rodriguez,Director,Human Resources,Speciality Products,Female,Latino,65,23-05-04,"$153,938 ",20% ,United States,Phoenix,
E04112,Axel Chu,Systems Analyst,IT,Research & Development,Male,Asian,43,04-05-18,"$59,888 ",0% ,China,Beijing,
E01807,Cameron Evans,Test Engineer,Engineering,Corporate,Male,Caucasian,50,13-12-18,"$63,098 ",0% ,United States,Columbus,
E04103,Isabella Soto,Vice President,Finance,Corporate,Female,Latino,27,15-12-21,"$255,369 ",33% ,Brazil,Sao Paulo,
E01412,Eva Jenkins,Sr. Manger,Human Resources,Manufacturing,Female,Black,55,10-11-04,"$142,318 ",14% ,United States,Chicago,
E04386,Cameron Powell,Business Partner,Human Resources,Manufacturing,Male,Black,41,20-08-04,"$49,186 ",0% ,United States,Austin,17-06-08
E01232,Samantha Foster,Vice President,Human Resources,Research & Development,Female,Black,34,27-07-19,"$220,937 ",38% ,United States,Austin,
E04572,Jade Li,Director,IT,Speciality Products,Female,Asian,47,26-10-12,"$183,156 ",30% ,United States,Seattle,
E02747,Kinsley Acosta,Vice President,IT,Speciality Products,Female,Latino,32,22-07-20,"$192,749 ",31% ,United States,Chicago,
E01064,Clara Kang,Sr. Manger,IT,Manufacturing,Female,Asian,39,25-03-17,"$135,325 ",14% ,United States,Phoenix,
E00178,Harper Alexander,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,14-10-19,"$79,356 ",0% ,United States,Phoenix,
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,Male,Black,40,07-07-05,"$74,412 ",0% ,United States,Seattle,
E01525,Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,Female,Latino,32,02-10-17,"$61,886 ",9% ,Brazil,Rio de Janerio,
E01309,Everleigh Jiang,Director,Accounting,Research & Development,Female,Asian,58,14-05-03,"$173,071 ",29% ,United States,Columbus,
E02378,Audrey Smith,Field Engineer,Engineering,Research & Development,Female,Caucasian,58,27-10-95,"$70,189 ",0% ,United States,Columbus,
E04127,Emery Acosta,Vice President,Sales,Research & Development,Female,Latino,42,11-09-13,"$181,452 ",30% ,United States,Columbus,
E02072,Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,12-03-21,"$70,369 ",0% ,United States,Seattle,
E02555,Landon Lopez,Sr. Analyst,Accounting,Manufacturing,Male,Latino,38,05-07-08,"$78,056 ",0% ,Brazil,Sao Paulo,
E00187,Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,02-05-96,"$189,933 ",23% ,United States,Miami,
E04332,Ezra Simmons,Automation Engineer,Engineering,Speciality Products,Male,Caucasian,38,01-07-10,"$78,237 ",0% ,United States,Phoenix,
E02062,Nora Santiago,Analyst,Accounting,Research & Development,Female,Latino,55,26-06-96,"$48,687 ",0% ,Brazil,Rio de Janerio,
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,19-08-04,"$121,065 ",15% ,Brazil,Rio de Janerio,
E00273,David Owens,Sr. Analyst,Sales,Corporate,Male,Black,43,16-04-04,"$94,246 ",0% ,United States,Austin,
E00691,Avery Yee,Systems Analyst,IT,Manufacturing,Female,Asian,34,22-05-16,"$44,614 ",0% ,United States,Miami,
E01403,Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,08-11-20,"$234,469 ",31% ,China,Chengdu,
E03438,Asher Morales,Automation Engineer,Engineering,Research & Development,Male,Latino,52,10-07-20,"$88,272 ",0% ,Brazil,Sao Paulo,
E04136,Mason Cao,Analyst II,Finance,Corporate,Male,Asian,52,14-09-17,"$74,449 ",0% ,China,Beijing,
E02944,Joshua Fong,Vice President,Engineering,Speciality Products,Male,Asian,47,11-06-12,"$222,941 ",39% ,China,Beijing,
E03300,Maria Chin,Analyst,Marketing,Manufacturing,Female,Asian,65,26-09-13,"$50,341 ",0% ,China,Beijing,
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,11-04-21,"$72,235 ",0% ,Brazil,Manaus,
E00825,Anna Molina,Sr. Analyst,Accounting,Corporate,Female,Latino,41,12-06-16,"$70,165 ",0% ,United States,Columbus,
E04972,Logan Bryant,Sr. Manger,Marketing,Speciality Products,Male,Caucasian,30,18-07-20,"$148,485 ",15% ,United States,Miami,
E03941,Isla Han,Technical Architect,IT,Manufacturing,Female,Asian,58,18-06-05,"$86,089 ",0% ,United States,Chicago,
E02148,Christopher Vega,Engineering Manager,Engineering,Research & Development,Male,Latino,54,27-10-07,"$106,313 ",15% ,United States,Chicago,
E02252,Lillian Park,Analyst,Marketing,Research & Development,Female,Asian,40,24-02-21,"$46,833 ",0% ,China,Chengdu,10-11-21
E03096,Kennedy Zhang,Director,Finance,Research & Development,Female,Asian,63,27-10-00,"$155,320 ",17% ,China,Chongqing,
E04800,Eli Han,Sr. Analyst,Accounting,Manufacturing,Male,Asian,40,15-01-16,"$89,984 ",0% ,China,Chengdu,
E02838,Julia Pham,Engineering Manager,Engineering,Speciality Products,Female,Asian,65,16-03-06,"$83,756 ",14% ,China,Shanghai,
E02980,Hailey Shin,Director,Human Resources,Corporate,Female,Asian,57,24-10-16,"$176,324 ",23% ,China,Shanghai,
E04477,Connor Grant,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,27,13-10-21,"$74,077 ",0% ,United States,Seattle,
E04348,Natalia Owens,Manager,Human Resources,Manufacturing,Female,Caucasian,31,18-01-21,"$104,162 ",7% ,United States,Austin,
E01638,Maria He,IT Systems Architect,IT,Corporate,Female,Asian,45,28-08-10,"$82,162 ",0% ,China,Beijing,03-10-20
E03419,Jade Yi,Account Representative,Sales,Speciality Products,Female,Asian,47,10-07-15,"$63,880 ",0% ,China,Chongqing,
E04222,Quinn Xiong,Test Engineer,Engineering,Research & Development,Female,Asian,55,08-09-13,"$73,248 ",0% ,United States,Columbus,
E04126,Dominic Baker,Sr. Analyst,Accounting,Manufacturing,Male,Black,51,09-10-20,"$91,853 ",0% ,United States,Chicago,
E01896,Adam Nelson,Director,Finance,Speciality Products,Male,Caucasian,25,14-01-20,"$168,014 ",27% ,United States,Chicago,27-07-21
E03018,Autumn Reed,Development Engineer,Engineering,Corporate,Female,Caucasian,37,17-09-17,"$70,770 ",0% ,United States,Miami,
E03325,Robert Edwards,HRIS Analyst,Human Resources,Corporate,Male,Caucasian,62,11-10-04,"$50,825 ",0% ,United States,Seattle,
E04037,Roman Martinez,Sr. Manger,Finance,Research & Development,Male,Latino,31,19-09-15,"$145,846 ",15% ,Brazil,Manaus,
E01902,Eleanor Li,Sr. Manger,Human Resources,Research & Development,Female,Asian,64,07-12-03,"$125,807 ",15% ,United States,Chicago,
E01466,Connor Vang,Analyst,Sales,Speciality Products,Male,Asian,25,28-07-21,"$46,845 ",0% ,United States,Miami,
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,Female,Asian,59,29-08-08,"$157,969 ",10% ,China,Chongqing,
E03474,Violet Hall,Solutions Architect,IT,Corporate,Female,Caucasian,40,10-12-10,"$97,807 ",0% ,United States,Chicago,
E02744,Dylan Padilla,HRIS Analyst,Human Resources,Manufacturing,Male,Latino,31,09-12-15,"$73,854 ",0% ,United States,Seattle,
E00702,Nathan Pham,Sr. Manger,Accounting,Manufacturing,Male,Asian,45,12-12-06,"$149,537 ",14% ,United States,Seattle,
E03081,Ayla Brown,Sr. Manger,Sales,Manufacturing,Female,Caucasian,49,15-04-13,"$128,303 ",15% ,United States,Phoenix,
E01281,Isaac Mitchell,Network Architect,IT,Speciality Products,Male,Black,46,10-06-05,"$67,374 ",0% ,United States,Austin,
E04029,Jayden Jimenez,Manager,Human Resources,Corporate,Male,Latino,46,24-09-11,"$102,167 ",6% ,Brazil,Rio de Janerio,
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,Asian,45,07-09-07,"$151,027 ",10% ,China,Shanghai,
E01753,Connor Fong,Manager,Accounting,Speciality Products,Male,Asian,40,16-02-18,"$120,905 ",5% ,United States,Seattle,
E04072,Emery Mitchell,Vice President,Finance,Manufacturing,Female,Caucasian,48,02-06-18,"$231,567 ",36% ,United States,Seattle,
E00672,Landon Luu,Vice President,IT,Research & Development,Male,Asian,31,12-07-15,"$215,388 ",33% ,United States,Miami,
E04419,Sophia Ahmed,Sr. Manger,Sales,Speciality Products,Female,Asian,30,13-06-15,"$127,972 ",11% ,United States,Seattle,
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,Asian,55,04-08-95,"$80,701 ",0% ,United States,Chicago,14-04-05
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,02-02-20,"$115,417 ",6% ,China,Shanghai,
E00306,Piper Patterson,Quality Engineer,Engineering,Corporate,Female,Caucasian,45,19-06-19,"$88,045 ",0% ,United States,Chicago,
E03292,Cora Evans,Computer Systems Manager,IT,Speciality Products,Female,Black,45,26-03-18,"$86,478 ",6% ,United States,Austin,
E04779,Cameron Young,Vice President,Engineering,Manufacturing,Male,Caucasian,63,18-01-16,"$180,994 ",39% ,United States,Seattle,
E00501,Melody Ho,Analyst II,Finance,Research & Development,Female,Asian,55,02-12-07,"$64,494 ",0% ,United States,Columbus,
E01132,Aiden Bryant,Account Representative,Sales,Manufacturing,Male,Black,47,21-10-02,"$70,122 ",0% ,United States,Columbus,
E00556,Grayson Walker,Director,Accounting,Manufacturing,Male,Caucasian,29,19-02-17,"$181,854 ",29% ,United States,Seattle,24-04-20
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,Latino,34,21-10-16,"$52,811 ",0% ,United States,Miami,
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,Female,Asian,28,25-10-19,"$50,111 ",0% ,China,Chengdu,
E04378,Ezra Simmons,Network Administrator,IT,Manufacturing,Male,Black,31,07-05-16,"$71,192 ",0% ,United States,Austin,
E03251,Ruby Medina,Director,Sales,Manufacturing,Female,Latino,50,18-12-18,"$155,351 ",20% ,United States,Seattle,
E03167,Luke Zheng,Director,Human Resources,Speciality Products,Male,Asian,39,28-11-06,"$161,690 ",29% ,China,Beijing,
E03347,Rylee Dinh,Development Engineer,Engineering,Speciality Products,Female,Asian,35,10-02-17,"$60,132 ",0% ,China,Chongqing,
E03908,Miles Evans,Network Architect,IT,Manufacturing,Male,Caucasian,54,24-10-94,"$87,216 ",0% ,United States,Miami,
E01351,Leo Owens,Systems Analyst,IT,Corporate,Male,Caucasian,47,23-04-20,"$50,069 ",0% ,United States,Seattle,
E02681,Caroline Owens,Director,IT,Speciality Products,Female,Caucasian,26,26-07-21,"$151,108 ",22% ,United States,Phoenix,
E03807,Kennedy Do,Computer Systems Manager,IT,Manufacturing,Female,Asian,42,15-10-05,"$67,398 ",7% ,United States,Phoenix,
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,Female,Latino,47,29-08-15,"$68,488 ",0% ,United States,Seattle,
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,16-07-98,"$92,932 ",0% ,United States,Columbus,
E04601,Allison Ayala,Analyst,Finance,Corporate,Female,Latino,36,30-06-09,"$43,363 ",0% ,United States,Austin,
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,Asian,31,14-02-17,"$95,963 ",0% ,China,Chengdu,
E02147,Allison Medina,Manager,Finance,Speciality Products,Female,Latino,55,29-04-10,"$111,038 ",5% ,Brazil,Sao Paulo,
E02914,Maria Wilson,Vice President,Engineering,Research & Development,Female,Caucasian,51,14-06-96,"$200,246 ",34% ,United States,Columbus,
E03268,Everly Coleman,Vice President,IT,Corporate,Female,Caucasian,48,18-02-15,"$194,871 ",35% ,United States,Columbus,
E03972,Jordan Gomez,Sr. Analyst,Accounting,Research & Development,Male,Latino,58,15-09-94,"$98,769 ",0% ,Brazil,Rio de Janerio,03-10-16
E02189,Isla Chavez,Account Representative,Sales,Research & Development,Female,Latino,29,19-05-18,"$65,334 ",0% ,Brazil,Rio de Janerio,
E04290,Hannah Gomez,Technical Architect,IT,Manufacturing,Female,Latino,25,11-05-21,"$83,934 ",0% ,United States,Miami,
E03630,Jacob Davis,Director,Accounting,Research & Development,Male,Caucasian,36,03-09-16,"$150,399 ",28% ,United States,Chicago,
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,19-05-12,"$160,280 ",19% ,China,Beijing,
E03045,Andrew Huynh,Business Partner,Human Resources,Speciality Products,Male,Asian,57,28-04-97,"$54,051 ",0% ,United States,Miami,11-10-98
E01924,Anna Gutierrez,Director,Engineering,Research & Development,Female,Latino,59,15-04-03,"$150,699 ",29% ,Brazil,Sao Paulo,
E04877,Samuel Vega,Analyst II,Marketing,Speciality Products,Male,Latino,37,30-03-13,"$69,570 ",0% ,United States,Miami,
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,Asian,30,29-03-19,"$86,774 ",0% ,China,Chengdu,
E04590,Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,Male,Caucasian,49,29-03-01,"$57,606 ",0% ,United States,Miami,
E01977,Raelynn Gupta,Sr. Manger,Finance,Corporate,Female,Asian,48,10-09-01,"$125,730 ",11% ,China,Chongqing,
E01378,Genesis Xiong,System Administrator ,IT,Research & Development,Female,Asian,51,25-02-12,"$64,170 ",0% ,United States,Columbus,
E04224,Lucas Ramos,Sr. Business Partner,Human Resources,Speciality Products,Male,Latino,56,21-01-98,"$72,303 ",0% ,United States,Phoenix,
E03423,Santiago f Gonzalez,Manager,Sales,Research & Development,Male,Latino,36,26-07-12,"$105,891 ",7% ,United States,Seattle,
E01584,Henry Zhu,Vice President,Marketing,Speciality Products,Male,Asian,38,25-08-21,"$255,230 ",36% ,United States,Austin,
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,Female,Latino,56,15-06-92,"$59,591 ",0% ,Brazil,Sao Paulo,
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,Asian,52,23-07-12,"$187,048 ",32% ,China,Chengdu,
E00834,Vivian Guzman,Analyst II,Finance,Speciality Products,Female,Latino,53,09-02-02,"$58,605 ",0% ,United States,Phoenix,
E04571,Hadley Contreras,Director,Engineering,Corporate,Female,Latino,60,04-01-17,"$178,502 ",20% ,United States,Austin,
E02652,Nathan Sun,Manager,Accounting,Speciality Products,Male,Asian,63,29-07-15,"$103,724 ",5% ,China,Shanghai,
E02693,Grace Campos,Director,Engineering,Research & Development,Female,Latino,37,21-03-08,"$156,277 ",22% ,Brazil,Manaus,
E03359,Autumn Ortiz,Field Engineer,Engineering,Research & Development,Female,Latino,30,17-12-17,"$87,744 ",0% ,Brazil,Sao Paulo,
E00399,Connor Walker,Analyst II,Finance,Manufacturing,Male,Caucasian,30,18-03-19,"$54,714 ",0% ,United States,Columbus,
E02971,Mia Wu,Enterprise Architect,IT,Corporate,Female,Asian,45,25-08-13,"$99,169 ",0% ,China,Beijing,
E03327,Julia Luong,Sr. Manger,Accounting,Research & Development,Female,Asian,55,20-06-06,"$142,628 ",12% ,China,Chongqing,
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,Female,Latino,33,27-04-14,"$75,869 ",0% ,Brazil,Sao Paulo,
E00836,Addison Roberts,Network Architect,IT,Manufacturing,Female,Caucasian,65,14-05-18,"$60,985 ",0% ,United States,Seattle,
E03854,Camila Li,Sr. Manger,IT,Research & Development,Female,Asian,60,24-07-10,"$126,911 ",10% ,China,Shanghai,
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,Asian,56,25-02-04,"$216,949 ",32% ,China,Shanghai,
E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,Asian,53,22-10-12,"$168,510 ",29% ,United States,Seattle,
E02284,Josephine Salazar,Field Engineer,Engineering,Speciality Products,Female,Latino,36,14-03-16,"$85,870 ",0% ,Brazil,Sao Paulo,
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,Asian,46,15-01-02,"$86,510 ",0% ,China,Beijing,02-01-03
E04168,Mila Juarez,Manager,Sales,Speciality Products,Female,Latino,38,21-09-17,"$119,647 ",9% ,Brazil,Sao Paulo,
E02861,Daniel Perry,Enterprise Architect,IT,Research & Development,Male,Caucasian,62,15-04-01,"$80,921 ",0% ,United States,Columbus,
E01357,Paisley Hunter,Engineering Manager,Engineering,Research & Development,Female,Caucasian,61,15-01-10,"$98,110 ",13% ,United States,Chicago,
E04387,Everleigh White,Network Architect,IT,Speciality Products,Female,Caucasian,59,20-10-17,"$86,831 ",0% ,United States,Phoenix,
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,Female,Asian,49,10-09-10,"$72,826 ",0% ,China,Beijing,
E03591,Piper Sun,Director,Marketing,Manufacturing,Female,Asian,64,14-02-11,"$171,217 ",19% ,United States,Seattle,
E03328,Lucy Johnson,Manager,IT,Research & Development,Female,Caucasian,57,27-04-20,"$103,058 ",7% ,United States,Columbus,
E04937,Ian Ngo,Manager,Sales,Speciality Products,Male,Asian,52,07-08-14,"$117,062 ",7% ,United States,Phoenix,
E00515,Joseph Vazquez,Sr. Manger,Accounting,Speciality Products,Male,Latino,40,23-01-19,"$159,031 ",10% ,United States,Miami,
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,Female,Latino,49,14-01-04,"$125,086 ",10% ,Brazil,Sao Paulo,
E03255,Jose Brown,System Administrator ,IT,Speciality Products,Male,Caucasian,43,07-04-16,"$67,976 ",0% ,United States,Seattle,
E01711,Benjamin Ford,Analyst II,Finance,Speciality Products,Male,Caucasian,31,22-04-21,"$74,215 ",0% ,United States,Phoenix,
E00500,Henry Shah,Director,Accounting,Manufacturing,Male,Asian,55,11-06-10,"$187,389 ",25% ,China,Chengdu,
E04972,Ivy Daniels,Sr. Manger,Human Resources,Speciality Products,Female,Caucasian,41,26-10-08,"$131,841 ",13% ,United States,Columbus,
E02728,Thomas Chang,Sr. Analyst,Accounting,Research & Development,Male,Asian,34,26-07-11,"$97,231 ",0% ,China,Beijing,
E04749,Caroline Phan,Sr. Manger,Finance,Corporate,Female,Asian,41,14-03-04,"$155,004 ",12% ,United States,Austin,
E02023,Maverick Mehta,Systems Analyst,IT,Manufacturing,Male,Asian,40,30-07-07,"$41,859 ",0% ,United States,Seattle,
E03166,Austin Edwards,IT Coordinator,IT,Manufacturing,Male,Black,42,24-09-06,"$52,733 ",0% ,United States,Chicago,
E02599,Daniel Huang,Vice President,Human Resources,Corporate,Male,Asian,31,03-09-15,"$250,953 ",34% ,United States,Columbus,
E01014,Lucas Phan,Director,Marketing,Research & Development,Male,Asian,49,19-02-99,"$191,807 ",21% ,China,Chongqing,
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,Male,Asian,42,23-06-14,"$64,677 ",0% ,China,Chongqing,
E00085,Mason Watson,Sr. Manger,IT,Corporate,Male,Caucasian,46,14-09-04,"$130,274 ",11% ,United States,Chicago,
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,Asian,37,06-07-17,"$96,331 ",0% ,China,Shanghai,
E02108,Madeline Coleman,Sr. Manger,Finance,Research & Development,Female,Caucasian,51,28-04-06,"$150,758 ",13% ,United States,Chicago,16-08-07
E03802,Thomas Vazquez,Director,Engineering,Corporate,Male,Latino,46,19-07-14,"$173,629 ",21% ,Brazil,Sao Paulo,
E03685,Silas Hunter,Solutions Architect,IT,Corporate,Male,Black,55,04-05-98,"$62,174 ",0% ,United States,Chicago,
E01089,Nicholas Brooks,Analyst II,Accounting,Manufacturing,Male,Caucasian,43,20-10-17,"$56,555 ",0% ,United States,Phoenix,
E03988,Dominic Thomas,Analyst II,Marketing,Manufacturing,Male,Caucasian,48,28-09-05,"$74,655 ",0% ,United States,Austin,
E00401,Wesley Adams,System Administrator ,IT,Corporate,Male,Caucasian,48,11-08-03,"$93,017 ",0% ,United States,Seattle,
E03429,Ian Wu,Sr. Analyst,Marketing,Manufacturing,Male,Asian,51,14-04-12,"$82,300 ",0% ,China,Chengdu,
E02417,Alice Young,Automation Engineer,Engineering,Research & Development,Female,Caucasian,46,24-01-08,"$91,621 ",0% ,United States,Chicago,
E00359,Logan Carrillo,Sr. Analyst,Marketing,Research & Development,Male,Latino,33,30-11-14,"$91,280 ",0% ,United States,Miami,
E02044,Caroline Alexander,Business Partner,Human Resources,Manufacturing,Female,Black,42,18-09-20,"$47,071 ",0% ,United States,Columbus,
E01479,Serenity Bailey,IT Systems Architect,IT,Manufacturing,Female,Caucasian,55,21-11-11,"$81,218 ",0% ,United States,Chicago,
E04962,Elena Tan,Vice President,Engineering,Manufacturing,Female,Asian,50,13-10-08,"$181,801 ",40% ,China,Chongqing,11-12-19
E02769,Eliza Adams,Account Representative,Sales,Manufacturing,Female,Caucasian,26,21-11-21,"$63,137 ",0% ,United States,Chicago,
E03893,Alice Xiong,Vice President,Engineering,Manufacturing,Female,Asian,55,02-09-18,"$221,465 ",34% ,China,Chengdu,
E00553,Isla Yoon,Quality Engineer,Engineering,Research & Development,Female,Asian,50,10-05-13,"$79,388 ",0% ,United States,Austin,04-08-19
E03540,Emma Perry,Solutions Architect,IT,Manufacturing,Female,Caucasian,28,22-01-18,"$68,176 ",0% ,United States,Seattle,
